MLP  2 2 1 
Epoches;Iteracoes;funcao ativacao;Alpha;Taxa Erro;Acurácia
500000;2e+06;Sigmoid;0.1;0.01;75%
26393;105572;Sigmoid;0.1;0.001;100%
1504;6016;Sigmoid;0.5;0.01;100%
2345;9380;Sigmoid;0.5;0.001;100%
500000;2e+06;Sigmoid;0.9;0.01;75%
2233;8932;Sigmoid;0.9;0.001;100%
672;2688;Sigmoid;2;0.01;100%
500000;2e+06;TanH;2;0.001;50%
500000;2e+06;TanH;0.1;0.01;50%
500000;2e+06;TanH;0.1;0.001;50%
500000;2e+06;TanH;0.5;0.01;50%
1;4;TanH;0.5;0.001;50%
500000;2e+06;TanH;0.9;0.01;50%
500000;2e+06;TanH;0.9;0.001;50%
500000;2e+06;TanH;2;0.01;50%
500000;2e+06;TanH;2;0.001;50%
23677;94708;Gaussian;0.1;0.01;100%
500000;2e+06;Gaussian;0.1;0.001;50%
500000;2e+06;Gaussian;0.5;0.01;50%
2747;10988;Gaussian;0.5;0.001;100%
500000;2e+06;Gaussian;0.9;0.01;75%
500000;2e+06;Gaussian;0.9;0.001;75%
500000;2e+06;Gaussian;2;0.01;75%
6456;25824;Gaussian;2;0.001;100%
2;8;Linear;0.1;0.01;50%
2;8;Linear;0.1;0.001;50%
2;8;Linear;0.5;0.01;50%
2;8;Linear;0.5;0.001;50%
2;8;Linear;0.9;0.01;50%
2;8;Linear;0.9;0.001;50%
2;8;Linear;2;0.01;50%
2;8;Linear;2;0.001;50%
